INDICADOR DO CAFÉ ROBUSTA CEPEA/ESALQ,,
,,
Fonte: Cepea,,
Data,À vista R$,À vista US$
23/04/2004,"122,92","42,24"
26/04/2004,"122,58","42,11"
27/04/2004,"123,07","42,22"
28/04/2004,"124,34","42,15"
29/04/2004,"123,81","41,73"
30/04/2004,"123,63","42,16"
03/05/2004,"123,63","41,49"
04/05/2004,"124,55","41,93"
05/05/2004,"124,66","42,19"
06/05/2004,"124,6","41,52"
07/05/2004,"124,2","40,56"
10/05/2004,"124,72","39,72"
11/05/2004,"126,56","41,14"
12/05/2004,"126,52","40,27"
13/05/2004,"126,37","40,32"
14/05/2004,"127,12","41,11"
17/05/2004,"127,69","40,87"
18/05/2004,"129,12","41,24"
19/05/2004,"132,75","42,36"
20/05/2004,"135,18","42,07"
21/05/2004,"136,47","42,57"
24/05/2004,"139,27","43,77"
25/05/2004,"141,4","44,75"
26/05/2004,"146,37","46,3"
27/05/2004,"142,88","45,79"
28/05/2004,"147,67","47,79"
31/05/2004,"145,87","45,73"
01/06/2004,"144,5","45,66"
02/06/2004,"145,07","46,32"
03/06/2004,"145,27","46,19"
04/06/2004,"145,62","46,49"
07/06/2004,"144,25","46,35"
08/06/2004,"143,99","46,17"
09/06/2004,"144,48","46,22"
11/06/2004,"145,28","46,28"
14/06/2004,"143,71","45,39"
15/06/2004,"140,33","44,7"
16/06/2004,"139,37","44,39"
17/06/2004,"133,98","42,68"
18/06/2004,"132,04","42,04"
21/06/2004,129,"41,23"
22/06/2004,"128,97","41,15"
23/06/2004,"131,98","42,21"
24/06/2004,"132,8","42,92"
25/06/2004,"130,62","41,99"
28/06/2004,"130,04","41,56"
29/06/2004,"131,56","42,33"
30/06/2004,"130,46",42
01/07/2004,"130,75","42,54"
02/07/2004,"128,77","42,33"
05/07/2004,"124,41","41,14"
06/07/2004,"124,79","40,94"
07/07/2004,"125,1","41,22"
08/07/2004,"124,55","40,72"
09/07/2004,"124,95","41,09"
12/07/2004,"124,98","41,18"
13/07/2004,"125,55","41,3"
14/07/2004,"126,12","41,68"
15/07/2004,"127,13","42,17"
16/07/2004,"126,81","42,26"
19/07/2004,"127,9","42,7"
20/07/2004,"130,11","43,28"
21/07/2004,"130,08","42,96"
22/07/2004,"129,13","42,46"
23/07/2004,"128,37","42,01"
26/07/2004,"127,91","41,57"
27/07/2004,"129,1","42,13"
28/07/2004,"130,96","42,88"
29/07/2004,"130,94","43,11"
30/07/2004,"131,48","43,28"
02/08/2004,"129,71","42,47"
03/08/2004,"129,88","42,54"
04/08/2004,"129,65","42,44"
05/08/2004,"127,25","41,46"
06/08/2004,"128,63","42,42"
09/08/2004,"129,58","42,62"
10/08/2004,"130,28","43,01"
11/08/2004,"130,84","43,08"
12/08/2004,"131,01","43,17"
13/08/2004,"132,16","43,75"
16/08/2004,"133,72","44,46"
17/08/2004,"134,83",45
18/08/2004,"133,12","44,6"
19/08/2004,"132,82","44,45"
20/08/2004,"133,03","44,85"
23/08/2004,"134,5","45,38"
24/08/2004,"135,77","45,93"
25/08/2004,"136,23","46,15"
26/08/2004,"136,64","46,22"
27/08/2004,"137,8","46,63"
30/08/2004,"137,68","46,73"
31/08/2004,"136,54","46,62"
01/09/2004,"137,06","46,73"
02/09/2004,"137,26","46,69"
03/09/2004,"136,37","46,57"
06/09/2004,"136,12","46,73"
08/09/2004,"136,43","47,03"
09/09/2004,"137,66","47,47"
10/09/2004,"138,97","47,87"
13/09/2004,"138,99","47,75"
14/09/2004,"139,12","47,82"
15/09/2004,"139,1","47,93"
16/09/2004,"139,73","48,43"
17/09/2004,"139,77","48,72"
20/09/2004,"140,09","48,71"
21/09/2004,"142,64","49,72"
22/09/2004,"145,4","50,45"
23/09/2004,"143,95","49,97"
24/09/2004,"144,25","50,26"
27/09/2004,"145,61","50,68"
28/09/2004,"144,18","50,29"
29/09/2004,"141,03","49,42"
30/09/2004,"141,36","49,44"
01/10/2004,"139,75","49,23"
04/10/2004,"138,74","49,1"
05/10/2004,"139,42","49,27"
06/10/2004,"139,94","49,24"
07/10/2004,"140,14","49,15"
08/10/2004,"139,87","49,44"
11/10/2004,"139,23","49,37"
13/10/2004,"137,04","48,25"
14/10/2004,"136,83","47,64"
15/10/2004,"138,32","48,42"
18/10/2004,"137,87","48,22"
19/10/2004,"136,98","47,58"
20/10/2004,136,"47,35"
21/10/2004,"134,96","47,24"
22/10/2004,"134,94",47
25/10/2004,"134,71","46,73"
26/10/2004,"135,28","47,2"
