index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
431,2016_11,4,549.46,549.46,2576.54,1057.19
432,2016_12,4,504.75,1054.21,3081.29,1054.21
433,2017_1,1,514.21,514.21,514.21,1018.96
434,2017_2,1,505.3,1019.51,1019.51,1019.51
435,2017_3,1,488.99,488.99,1508.5,994.29
436,2017_4,2,479.25,968.24,1987.75,968.24
437,2017_5,2,471.89,471.89,2459.64,951.14
438,2017_6,2,473.76,945.65,2933.3999999999996,945.65
439,2017_7,3,508.55,508.55,508.55,982.31
440,2017_8,3,511.44,1019.99,1019.99,1019.99
441,2017_9,3,477.19,477.19,1497.18,988.63
442,2017_10,4,437.82,915.01,1935.0,915.01
443,2017_11,4,450.84,450.84,2385.84,888.66
444,2017_12,4,449.44,900.28,2835.28,900.28
445,2018_1,1,432.26,432.26,432.26,881.7
446,2018_2,1,430.47,862.73,862.73,862.73
447,2018_3,1,421.87,421.87,1284.6,852.34
448,2018_4,2,431.5,853.37,1716.1,853.37
449,2018_5,2,446.76,446.76,2162.8599999999997,878.26
450,2018_6,2,466.24,913.0,2629.0999999999995,913.0
451,2018_7,3,474.96,474.96,474.96,941.2
452,2018_8,3,459.73,934.69,934.69,934.69
453,2018_9,3,442.37,442.37,1377.06,902.1
454,2018_10,4,424.54,866.9100000000001,1801.6,866.9100000000001
455,2018_11,4,429.7,429.7,2231.2999999999997,854.24
456,2018_12,4,410.42,840.12,2641.72,840.12
457,2019_1,1,399.98,399.98,399.98,810.4000000000001
458,2019_2,1,398.08,798.06,798.06,798.06
459,2019_3,1,390.17,390.17,1188.23,788.25
460,2019_4,2,381.0,771.1700000000001,1569.23,771.1700000000001
461,2019_5,2,392.92,392.92,1962.15,773.9200000000001
462,2019_6,2,427.09,820.01,2389.2400000000002,820.01
463,2019_7,3,442.84,442.84,442.84,869.93
464,2019_8,3,417.23,860.0699999999999,860.0699999999999,860.0699999999999
465,2019_9,3,415.82,415.82,1275.8899999999999,833.05
466,2019_10,4,406.17,821.99,1682.06,821.99
467,2019_11,4,447.67,447.67,2129.73,853.84
468,2019_12,4,518.57,966.24,2648.3,966.24
469,2020_1,1,501.68,501.68,501.68,1020.25
470,2020_2,1,493.67,995.35,995.35,995.35
471,2020_3,1,555.23,555.23,1550.58,1048.9
472,2020_4,2,576.55,1131.78,2127.13,1131.78
473,2020_5,2,566.69,566.69,2693.82,1143.24
474,2020_6,2,518.24,1084.93,3212.0600000000004,1084.93
475,2020_7,3,531.82,531.82,531.82,1050.06
476,2020_8,3,555.65,1087.47,1087.47,1087.47
477,2020_9,3,545.8,545.8,1633.27,1101.4499999999998
478,2020_10,4,521.32,1067.12,2154.59,1067.12
479,2020_11,4,551.45,551.45,2706.04,1072.77
480,2020_12,4,586.98,1138.43,3293.02,1138.43
481,2021_1,1,639.23,639.23,639.23,1226.21
482,2021_2,1,695.33,1334.56,1334.56,1334.56
483,2021_3,1,726.88,726.88,2061.44,1422.21
484,2021_4,2,744.05,1470.9299999999998,2805.49,1470.9299999999998
485,2021_5,2,811.06,811.06,3616.5499999999997,1555.11
486,2021_6,2,793.67,1604.73,4410.219999999999,1604.73
487,2021_7,3,762.36,762.36,762.36,1556.03
488,2021_8,3,772.03,1534.3899999999999,1534.3899999999999,1534.3899999999999
489,2021_9,3,851.11,851.11,2385.5,1623.1399999999999
490,2021_10,4,1113.29,1964.4,3498.79,1964.4
491,2021_11,4,1285.94,1285.94,4784.73,2399.23
492,2021_12,4,1446.66,2732.6000000000004,6231.389999999999,2732.6000000000004
493,2022_1,1,1480.49,1480.49,1480.49,2927.15
494,2022_2,1,1488.11,2968.6,2968.6,2968.6
495,2022_3,1,1258.22,1258.22,4226.82,2746.33
496,2022_4,2,1253.25,2511.4700000000003,5480.07,2511.4700000000003
497,2022_5,2,1259.21,1259.21,6739.28,2512.46
498,2022_6,2,1256.28,2515.49,7995.5599999999995,2515.49
499,2022_7,3,1119.45,1119.45,1119.45,2375.73
500,2022_8,3,1075.91,2195.36,2195.36,2195.36
501,2022_9,3,1098.56,1098.56,3293.92,2174.4700000000003
502,2022_10,4,1032.75,2131.31,4326.67,2131.31
503,2022_11,4,915.26,915.26,5241.93,1948.01
504,2022_12,4,994.22,1909.48,6236.150000000001,1909.48
505,2023_1,1,1030.14,1030.14,1030.14,2024.3600000000001
506,2023_2,1,1130.26,2160.4,2160.4,2160.4
507,2023_3,1,1103.37,1103.37,3263.77,2233.63
508,2023_4,2,1115.24,2218.6099999999997,4379.01,2218.6099999999997
509,2023_5,2,1030.64,1030.64,5409.650000000001,2145.88
510,2023_6,2,0.0,1030.64,5409.650000000001,1030.64
511,2023_7,3,0.0,0.0,0.0,0.0
512,2023_8,3,0.0,0.0,0.0,0.0
513,2023_9,3,0.0,0.0,0.0,0.0
514,2023_10,4,0.0,0.0,0.0,0.0
515,2023_11,4,0.0,0.0,0.0,0.0
516,2023_12,4,0.0,0.0,0.0,0.0
